combat,time,round,actor,action,target,damage,actor_PV,target_PV
38,2025-11-06T09:28:13.413,1,Hussin,attack,Jed,18,84,82
38,2025-11-06T09:28:13.413,2,Jed,skill,Hussin,68,82,16
38,2025-11-06T09:28:13.414,2,Hussin,attack,Jed,35,16,47
38,2025-11-06T09:28:13.414,3,Jed,attack,Hussin,12,47,4
38,2025-11-06T09:28:13.414,3,Hussin,skill,Jed,47,4,0
39,2025-11-06T09:28:13.415,1,Jed,skill,Hussin,73,100,47
39,2025-11-06T09:28:13.415,1,Hussin,attack,Jed,33,47,67
39,2025-11-06T09:28:13.416,2,Jed,skill,Hussin,35,67,12
39,2025-11-06T09:28:13.416,2,Hussin,attack,Jed,38,12,29
39,2025-11-06T09:28:13.417,3,Jed,attack,Hussin,12,29,0
40,2025-11-06T09:28:13.417,1,Jed,skill,Hussin,36,100,84
40,2025-11-06T09:28:13.417,1,Hussin,attack,Jed,31,84,69
40,2025-11-06T09:28:13.418,2,Jed,skill,Hussin,34,69,50
40,2025-11-06T09:28:13.418,2,Hussin,attack,Jed,24,50,45
40,2025-11-06T09:28:13.419,3,Jed,attack,Hussin,12,45,38
40,2025-11-06T09:28:13.419,3,Hussin,attack,Jed,27,38,18
40,2025-11-06T09:28:13.42,4,Jed,attack,Hussin,16,18,22
40,2025-11-06T09:28:13.42,4,Hussin,attack,Jed,18,22,0
41,2025-11-06T09:28:13.421,1,Jed,skill,Hussin,36,100,84
41,2025-11-06T09:28:13.421,1,Hussin,attack,Jed,29,84,71
41,2025-11-06T09:28:13.422,2,Jed,skill,Hussin,79,71,5
41,2025-11-06T09:28:13.422,2,Hussin,attack,Jed,29,5,42
41,2025-11-06T09:28:13.422,3,Jed,attack,Hussin,5,42,0
42,2025-11-06T09:28:13.423,1,Jed,skill,Hussin,35,100,85
42,2025-11-06T09:28:13.423,1,Hussin,attack,Jed,24,85,76
42,2025-11-06T09:28:13.424,2,Jed,skill,Hussin,32,76,53
42,2025-11-06T09:28:13.425,2,Hussin,attack,Jed,25,53,51
42,2025-11-06T09:28:13.425,3,Jed,attack,Hussin,18,51,35
42,2025-11-06T09:28:13.426,3,Hussin,attack,Jed,31,35,20
42,2025-11-06T09:28:13.427,4,Jed,attack,Hussin,24,20,11
42,2025-11-06T09:28:13.427,4,Hussin,attack,Jed,20,11,0
43,2025-11-06T09:28:13.427,1,Jed,skill,Hussin,37,100,83
43,2025-11-06T09:28:13.428,1,Hussin,attack,Jed,29,83,71
43,2025-11-06T09:28:13.428,2,Jed,skill,Hussin,33,71,50
43,2025-11-06T09:28:13.428,2,Hussin,skill,Jed,38,50,33
43,2025-11-06T09:28:13.429,3,Jed,attack,Hussin,11,33,39
43,2025-11-06T09:28:13.429,3,Hussin,attack,Jed,33,39,0
44,2025-11-06T09:28:13.429,1,Jed,skill,Hussin,79,100,41
44,2025-11-06T09:28:13.43,1,Hussin,attack,Jed,36,41,64
44,2025-11-06T09:28:13.43,2,Jed,skill,Hussin,37,64,4
44,2025-11-06T09:28:13.43,2,Hussin,attack,Jed,32,4,32
44,2025-11-06T09:28:13.431,3,Jed,attack,Hussin,4,32,0
45,2025-11-06T09:28:13.431,1,Jed,skill,Hussin,33,100,87
45,2025-11-06T09:28:13.431,1,Hussin,attack,Jed,42,87,58
45,2025-11-06T09:28:13.432,2,Jed,skill,Hussin,34,58,53
45,2025-11-06T09:28:13.432,2,Hussin,attack,Jed,29,53,29
45,2025-11-06T09:28:13.432,3,Jed,attack,Hussin,15,29,38
45,2025-11-06T09:28:13.433,3,Hussin,attack,Jed,29,38,0
46,2025-11-06T09:28:13.433,1,Jed,skill,Hussin,32,100,88
46,2025-11-06T09:28:13.433,1,Hussin,skill,Jed,39,88,61
46,2025-11-06T09:28:13.434,2,Jed,skill,Hussin,32,61,56
46,2025-11-06T09:28:13.434,2,Hussin,attack,Jed,27,56,34
46,2025-11-06T09:28:13.435,3,Jed,attack,Hussin,15,34,41
46,2025-11-06T09:28:13.435,3,Hussin,attack,Jed,26,41,8
46,2025-11-06T09:28:13.436,4,Jed,attack,Hussin,17,8,24
46,2025-11-06T09:28:13.436,4,Hussin,attack,Jed,8,24,0
47,2025-11-06T09:28:13.437,1,Jed,skill,Hussin,35,100,85
47,2025-11-06T09:28:13.438,1,Hussin,attack,Jed,35,85,65
47,2025-11-06T09:28:13.439,2,Jed,skill,Hussin,37,65,48
47,2025-11-06T09:28:13.439,2,Hussin,attack,Jed,33,48,32
47,2025-11-06T09:28:13.44,3,Jed,attack,Hussin,13,32,35
47,2025-11-06T09:28:13.44,3,Hussin,attack,Jed,32,35,0
48,2025-11-06T09:28:13.441,1,Jed,skill,Hussin,35,100,85
48,2025-11-06T09:28:13.441,1,Hussin,attack,Jed,25,85,75
48,2025-11-06T09:28:13.441,2,Jed,skill,Hussin,33,75,52
48,2025-11-06T09:28:13.442,2,Hussin,attack,Jed,31,52,44
48,2025-11-06T09:28:13.442,3,Jed,attack,Hussin,16,44,36
48,2025-11-06T09:28:13.442,3,Hussin,skill,Jed,44,36,0
49,2025-11-06T09:28:13.443,1,Jed,skill,Hussin,33,100,87
49,2025-11-06T09:28:13.443,1,Hussin,attack,Jed,24,87,76
49,2025-11-06T09:28:13.443,2,Jed,skill,Hussin,34,76,53
49,2025-11-06T09:28:13.444,2,Hussin,skill,Jed,40,53,36
49,2025-11-06T09:28:13.444,3,Jed,attack,Hussin,15,36,38
49,2025-11-06T09:28:13.444,3,Hussin,attack,Jed,36,38,0
50,2025-11-06T09:28:13.445,1,Jed,skill,Hussin,31,100,89
50,2025-11-06T09:28:13.445,1,Hussin,attack,Jed,50,89,50
50,2025-11-06T09:28:13.445,2,Jed,skill,Hussin,35,50,54
50,2025-11-06T09:28:13.446,2,Hussin,attack,Jed,50,54,0
